from	to	min_level	branch
Pikachu	Raichu	35	
Nidorina	Nidoqueen	35	
Nidorino	Nidoking	35	
Clefairy	Clefable	35	
Vulpix	Ninetales	25	
Jigglypuff	Wigglytuff	35	
Golbat	Crobat	30	
Gloom	Vileplume	35	random50
Gloom	Bellossom	35	random50
Growlithe	Arcanine	25	
Poliwhirl	Poliwrath	35	random50
Poliwhirl	Politoed	35	random50
Kadabra	Alakazam	35	
Machoke	Machamp	35	
Weepinbell	Victreebel	35	
Graveler	Golem	35	
Slowpoke	Slowking	20	
Magneton	Magnezone	35	
Shellder	Cloyster	25	
Haunter	Gengar	35	
Onix	Steelix	20	
Exeggcute	Exeggutor	25	
Lickitung	Lickilicky	34	
Rhydon	Rhyperior	35	
Chansey	Blissey	30	
Tangela	Tangrowth	34	
Seadra	Kingdra	35	
Staryu	Starmie	25	
Scyther	Scizor	20	
Electabuzz	Electivire	35	
Magmar	Magmortar	35	
Porygon	Porygon2	20	
Pichu	Pikachu	20	
Cleffa	Clefairy	20	
Igglybuff	Jigglypuff	20	
Togepi	Togetic	20	
Togetic	Togekiss	35	
Aipom	Ambipom	33	
Sunkern	Sunflora	25	
Yanma	Yanmega	34	
Murkrow	Honchkrow	25	
Misdreavus	Mismagius	25	
Gligar	Gliscor	25	
Sneasel	Weavile	25	
Piloswine	Mamoswine	34	
Porygon2	Porygon-Z	35	
Wurmple	Silcoon	7	random50
Wurmple	Cascoon	7	random50
Lombre	Ludicolo	35	
Nuzleaf	Shiftry	35	
Nincada	Ninjask	20	
Azurill	Marill	20	
Nosepass	Probopass	25	
Skitty	Delcatty	25	
Roselia	Roserade	35	
Feebas	Milotic	25	
Dusclops	Dusknoir	35	
Clamperl	Huntail	20	random50
Clamperl	Gorebyss	20	random50
Budew	Roselia	20	
Buneary	Lopunny	20	
Chingling	Chimecho	20	
Bonsly	Sudowoodo	18	
Mime Jr.	Mr. Mime	19	
Happiny	Chansey	20	
Munchlax	Snorlax	20	
Riolu	Lucario	20	
Mantyke	Mantine	20	
